"Champ","Chemin","Unimarc","Conditions","Correspondance",,"Champ","BCDI","PMB"
"COLLATION_N","MEMO_NOTICES/NOTICES/","464 $ p ou 215 $ a","Si SUPPORT_D <> de Périodique => 215 $a sinon dans 464 $ p","(Collation) Importance matérielle",,"dt","TYPE_DOC_D","dt"
"DATE_EDITION_N_N","MEMO_NOTICES/NOTICES/","210 $ d","Si SUPPORT_D <> de Périodique","(Éditeurs,collection) Année",,,"Document projeté, vidéo","g"
"DATE_SAISIE_N_N","MEMO_NOTICES/NOTICES/","100 $ a",,,,,"Texte imprimé","a"
"DESCRIPTEURS_N","MEMO_NOTICES/NOTICES/","606 $ a",,,,,"Enregistrement sonore","i"
"DISCIPLINES_N_N","MEMO_NOTICES/NOTICES/","902 $ a",,,,,"Texte manuscrit","b"
"DIVERS_N","MEMO_NOTICES/NOTICES/","327 $ a",,"Note de contenu",,,"Document cartographique","e"
"FONCTIONS_N","MEMO_NOTICES/NOTICES/","700 $ 4 puis 701 et 702 $4","Pas de reprise d'un auteur ayant plusieurs fonctions","(Responsabilité) Fonction ",,,"Ressource électronique","l"
"IDENTITE_N_N","MEMO_NOTICES/NOTICES/","001",,,,,"Ressource en ligne","l"
"LANGUE_N","MEMO_NOTICES/NOTICES/","101 $ a",,"Langues de la publication",,,"Document graphique","k"
"MOTS_CLES_N","MEMO_NOTICES/NOTICES/","610 $ a",,"(Indexation) Mots-clés",,,"Document multisupport","m"
"NATURES_N","MEMO_NOTICES/NOTICES/","901 $ a",,,,,"Objet 3 dimensions","r"
"NIVEAUX_N","MEMO_NOTICES/NOTICES/","906 $ a",,,,,"Autre","m"
"NOTES_N","MEMO_NOTICES/NOTICES/","300 $ a",,"(Notes) Note générale",,,,
"RESUME_N","MEMO_NOTICES/NOTICES/","330 $ a",,"(Notes) Résumé",,,,
"SIGNIFICATIF_N","MEMO_NOTICES/NOTICES/",,,,,"7XX $ 4","FONCTIONS_N","7XX $ 4"
"TITRE_N","MEMO_NOTICES/NOTICES/","200 $ a","Indice calculé en fonction du champs « SIGNIFICATIF_N »","Titre propre",,,"Auteur","070"
"TYPE_NOTICE_N","MEMO_NOTICES/NOTICES/","bl et hl",,"Niveaux hiérarchique et bibliographique",,,"Chef d&apos;orchestre",250
"TYPES_NATURE_N","MEMO_NOTICES/NOTICES/","905 $ a et 995 $ t","Création 995 si champs EXEMPLAIRES",,,,"Compositeur",230
